,Date,Over,Over category,BattingOrder,WicketsInHand,Non Striker,Bowler,Bowler Type,3Yr_Econ_Avg,3Yr_Wickets_Total,Status,Opposition,Venue,Runs,CumulativeRunsForBowler
1166,2011-04-09,5.4,Power Play,4,6,MA Agarwal,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,0,4
1167,2011-04-09,5.5,Power Play,4,6,MA Agarwal,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,0,8
1168,2011-04-09,5.6,Power Play,4,6,MA Agarwal,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,0,12
1169,2011-04-09,6.4,Middle Overs (6-10),4,6,MA Agarwal,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,2,4
1170,2011-04-09,6.5,Middle Overs (6-10),4,6,MA Agarwal,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,0,8
1171,2011-04-09,6.6,Middle Overs (6-10),4,6,MA Agarwal,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,0,12
1172,2011-04-09,7.4,Middle Overs (6-10),4,6,MA Agarwal,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,1,16
1173,2011-04-09,8.1,Middle Overs (6-10),4,6,MA Agarwal,S Sreesanth,Right-arm fast-medium,9.007,28.0,Not Out,Kochi Tuskers Kerala,Kochi,1,4
1174,2011-04-09,8.3,Middle Overs (6-10),4,6,MA Agarwal,S Sreesanth,Right-arm fast-medium,9.007,28.0,Not Out,Kochi Tuskers Kerala,Kochi,1,8
1175,2011-04-09,8.5,Middle Overs (6-10),4,6,MA Agarwal,S Sreesanth,Right-arm fast-medium,9.007,28.0,Not Out,Kochi Tuskers Kerala,Kochi,1,12
1176,2011-04-09,8.7,Middle Overs (6-10),4,6,MA Agarwal,S Sreesanth,Right-arm fast-medium,9.007,28.0,Not Out,Kochi Tuskers Kerala,Kochi,6,16
1177,2011-04-09,8.8,Middle Overs (6-10),4,6,MA Agarwal,S Sreesanth,Right-arm fast-medium,9.007,28.0,Not Out,Kochi Tuskers Kerala,Kochi,1,20
1182,2011-04-09,10.1,Middle Overs (10-16),4,5,SS Tiwary,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,0,16
1183,2011-04-09,10.2,Middle Overs (10-16),4,5,SS Tiwary,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,0,20
1184,2011-04-09,10.3,Middle Overs (10-16),4,5,SS Tiwary,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,0,24
1185,2011-04-09,10.4,Middle Overs (10-16),4,5,SS Tiwary,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,1,28
1190,2011-04-09,12.2,Middle Overs (10-16),4,5,SS Tiwary,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,6,32
1191,2011-04-09,12.3,Middle Overs (10-16),4,5,SS Tiwary,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,1,36
1192,2011-04-09,13.2,Middle Overs (10-16),4,5,SS Tiwary,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,0,20
1193,2011-04-09,13.3,Middle Overs (10-16),4,5,SS Tiwary,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,0,24
1194,2011-04-09,13.4,Middle Overs (10-16),4,5,SS Tiwary,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,1,28
1195,2011-04-09,14.7,Middle Overs (10-16),4,5,SS Tiwary,RP Singh,Left-arm fast-medium,8.13,51.0,Not Out,Kochi Tuskers Kerala,Kochi,1,4
1200,2011-04-09,16.1,Death Overs,4,5,SS Tiwary,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,1,40
1201,2011-04-09,16.3,Death Overs,4,5,SS Tiwary,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,0,44
1202,2011-04-09,16.4,Death Overs,4,5,SS Tiwary,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,1,48
1218,2011-04-12,8.5,Middle Overs (6-10),4,6,TM Dilshan,Harbhajan Singh,Right-arm offbreak,7.017,34.0,Not Out,Mumbai Indians,Bangalore,0,4
1219,2011-04-12,8.6,Middle Overs (6-10),4,6,TM Dilshan,Harbhajan Singh,Right-arm offbreak,7.017,34.0,Not Out,Mumbai Indians,Bangalore,1,8
1224,2011-04-12,10.1,Middle Overs (10-16),4,6,TM Dilshan,Harbhajan Singh,Right-arm offbreak,7.017,34.0,Not Out,Mumbai Indians,Bangalore,1,12
1225,2011-04-12,10.3,Middle Overs (10-16),4,6,TM Dilshan,Harbhajan Singh,Right-arm offbreak,7.017,34.0,Not Out,Mumbai Indians,Bangalore,0,16
1226,2011-04-12,10.4,Middle Overs (10-16),4,6,TM Dilshan,Harbhajan Singh,Right-arm offbreak,7.017,34.0,Not Out,Mumbai Indians,Bangalore,0,20
1227,2011-04-12,10.5,Middle Overs (10-16),4,6,TM Dilshan,Harbhajan Singh,Right-arm offbreak,7.017,34.0,Not Out,Mumbai Indians,Bangalore,1,24
1228,2011-04-12,10.7,Middle Overs (10-16),4,6,TM Dilshan,Harbhajan Singh,Right-arm offbreak,7.017,34.0,Not Out,Mumbai Indians,Bangalore,0,28
1231,2011-04-12,12.2,Middle Overs (10-16),4,6,TM Dilshan,MM Patel,Right-arm fast-medium,7.87,33.0,Not Out,Mumbai Indians,Bangalore,1,4
1232,2011-04-12,12.4,Middle Overs (10-16),4,6,TM Dilshan,MM Patel,Right-arm fast-medium,7.87,33.0,Not Out,Mumbai Indians,Bangalore,1,8
1235,2011-04-12,14.3,Middle Overs (10-16),4,6,TM Dilshan,Harbhajan Singh,Right-arm offbreak,7.017,34.0,Not Out,Mumbai Indians,Bangalore,1,32
1236,2011-04-12,14.5,Middle Overs (10-16),4,6,TM Dilshan,Harbhajan Singh,Right-arm offbreak,7.017,34.0,Not Out,Mumbai Indians,Bangalore,1,36
1244,2011-04-14,5.2,Power Play,5,5,V Kohli,I Sharma,Right-arm fast-medium,8.0,26.0,Not Out,Sunrisers Hyderabad,Hyderabad,0,5
1245,2011-04-14,5.3,Power Play,5,5,V Kohli,I Sharma,Right-arm fast-medium,8.0,26.0,Not Out,Sunrisers Hyderabad,Hyderabad,0,10
1246,2011-04-14,5.4,Power Play,5,5,V Kohli,I Sharma,Right-arm fast-medium,8.0,26.0,Not Out,Sunrisers Hyderabad,Hyderabad,0,15
1247,2011-04-14,5.5,Power Play,5,5,V Kohli,I Sharma,Right-arm fast-medium,8.0,26.0,Not Out,Sunrisers Hyderabad,Hyderabad,0,20
1248,2011-04-14,5.6,Power Play,5,5,V Kohli,I Sharma,Right-arm fast-medium,8.0,26.0,Not Out,Sunrisers Hyderabad,Hyderabad,0,25
1249,2011-04-14,6.3,Middle Overs (6-10),5,5,V Kohli,MS Gony,Right-arm fast-medium,9.663,23.0,Not Out,Sunrisers Hyderabad,Hyderabad,0,5
1250,2011-04-14,6.4,Middle Overs (6-10),5,5,V Kohli,MS Gony,Right-arm fast-medium,9.663,23.0,caught,Sunrisers Hyderabad,Hyderabad,0,10
1251,2011-04-16,5.1,Power Play,5,5,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Chennai,0,5
1252,2011-04-16,5.2,Power Play,5,5,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Chennai,1,10
1253,2011-04-16,5.5,Power Play,5,5,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Chennai,0,15
1254,2011-04-16,5.6,Power Play,5,5,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Chennai,0,20
1274,2011-04-16,12.3,Middle Overs (10-16),5,4,SS Tiwary,SK Raina,Right-arm offbreak,7.46,14.0,Not Out,Chennai Super Kings,Chennai,1,5
1294,2011-04-16,18.1,Death Overs,5,2,JJ van der Wath,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Chennai,2,25
1295,2011-04-16,18.2,Death Overs,5,2,JJ van der Wath,JA Morkel,Right-arm fast-medium,8.3,41.0,caught,Chennai Super Kings,Chennai,0,30
1298,2011-04-29,9.4,Middle Overs (6-10),4,6,V Kohli,Yuvraj Singh,Left-arm orthodox,7.64,14.0,Not Out,Pune Warriors,Bangalore,1,4
1299,2011-04-29,9.6,Middle Overs (6-10),4,6,V Kohli,Yuvraj Singh,Left-arm orthodox,7.64,14.0,Not Out,Pune Warriors,Bangalore,1,8
1300,2011-04-29,10.1,Middle Overs (10-16),4,6,V Kohli,R Sharma,Right-arm offbreak,7.1,14.0,Not Out,Pune Warriors,Bangalore,1,4
1301,2011-04-29,10.5,Middle Overs (10-16),4,6,V Kohli,R Sharma,Right-arm offbreak,7.1,14.0,Not Out,Pune Warriors,Bangalore,1,8
1305,2011-04-29,12.1,Middle Overs (10-16),4,6,V Kohli,Yuvraj Singh,Left-arm orthodox,7.64,14.0,Not Out,Pune Warriors,Bangalore,2,12
1306,2011-04-29,12.2,Middle Overs (10-16),4,6,V Kohli,Yuvraj Singh,Left-arm orthodox,7.64,14.0,Not Out,Pune Warriors,Bangalore,1,16
1307,2011-04-29,12.4,Middle Overs (10-16),4,6,V Kohli,Yuvraj Singh,Left-arm orthodox,7.64,14.0,Not Out,Pune Warriors,Bangalore,1,20
1308,2011-04-29,12.6,Middle Overs (10-16),4,6,V Kohli,Yuvraj Singh,Left-arm orthodox,7.64,14.0,Not Out,Pune Warriors,Bangalore,0,24
1311,2011-04-29,14.1,Middle Overs (10-16),4,6,V Kohli,R Sharma,Right-arm offbreak,7.1,14.0,Not Out,Pune Warriors,Bangalore,1,12
1312,2011-04-29,14.3,Middle Overs (10-16),4,6,V Kohli,R Sharma,Right-arm offbreak,7.1,14.0,Not Out,Pune Warriors,Bangalore,1,16
1318,2011-05-06,14.5,Middle Overs (10-16),4,6,V Kohli,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Bangalore,1,4
1322,2011-05-06,16.4,Death Overs,4,5,SS Tiwary,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Bangalore,6,8
1323,2011-05-06,16.5,Death Overs,4,5,SS Tiwary,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Bangalore,1,12
1332,2011-05-14,5.6,Power Play,4,6,V Kohli,JH Kallis,Right-arm fast-medium,8.357,23.0,Not Out,Kolkata Knight Riders,Bangalore,0,4
1335,2011-05-14,7.2,Middle Overs (6-10),4,6,V Kohli,JH Kallis,Right-arm fast-medium,8.357,23.0,Not Out,Kolkata Knight Riders,Bangalore,1,8
1338,2011-05-14,9.1,Middle Overs (6-10),4,5,M Kaif,L Balaji,Right-arm fast-medium,8.663,31.0,Not Out,Kolkata Knight Riders,Bangalore,1,4
1339,2011-05-14,9.6,Middle Overs (6-10),4,5,M Kaif,L Balaji,Right-arm fast-medium,8.663,31.0,Not Out,Kolkata Knight Riders,Bangalore,0,8
1340,2011-05-14,9.7,Middle Overs (6-10),4,5,M Kaif,L Balaji,Right-arm fast-medium,8.663,31.0,Not Out,Kolkata Knight Riders,Bangalore,0,12
1344,2011-05-14,12.1,Middle Overs (10-16),4,3,SS Tiwary,L Balaji,Right-arm fast-medium,8.663,31.0,Not Out,Kolkata Knight Riders,Bangalore,0,16
1345,2011-05-14,12.4,Middle Overs (10-16),4,2,A Mithun,L Balaji,Right-arm fast-medium,8.663,31.0,Not Out,Kolkata Knight Riders,Bangalore,4,20
1346,2011-05-17,4.4,Power Play,4,6,SS Tiwary,P Kumar,Right-arm fast-medium,8.187,34.0,Not Out,Punjab Kings,Dharamsala,4,4
1347,2011-05-17,4.5,Power Play,4,6,SS Tiwary,P Kumar,Right-arm fast-medium,8.187,34.0,Not Out,Punjab Kings,Dharamsala,1,8
1355,2011-05-17,8.1,Middle Overs (6-10),4,4,M Kaif,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Dharamsala,0,16
1356,2011-05-17,8.2,Middle Overs (6-10),4,4,M Kaif,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Dharamsala,6,20
1357,2011-05-17,8.3,Middle Overs (6-10),4,4,M Kaif,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Dharamsala,0,24
1358,2011-05-17,8.4,Middle Overs (6-10),4,4,M Kaif,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Dharamsala,0,28
1359,2011-05-17,8.5,Middle Overs (6-10),4,4,M Kaif,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Dharamsala,0,32
1360,2011-05-17,8.6,Middle Overs (6-10),4,4,M Kaif,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Dharamsala,1,36
1365,2011-05-17,10.1,Middle Overs (10-16),4,4,M Kaif,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Dharamsala,1,40
1370,2011-05-17,12.4,Middle Overs (10-16),4,2,JJ van der Wath,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Dharamsala,0,44
1371,2011-05-17,12.5,Middle Overs (10-16),4,2,JJ van der Wath,PP Chawla,Right-arm legbreak,7.547,41.0,Not Out,Punjab Kings,Dharamsala,0,48
1372,2011-05-17,12.6,Middle Overs (10-16),4,2,JJ van der Wath,PP Chawla,Right-arm legbreak,7.547,41.0,caught,Punjab Kings,Dharamsala,0,52
1379,2011-05-24,10.2,Middle Overs (10-16),4,6,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Mumbai,1,34
1380,2011-05-24,10.5,Middle Overs (10-16),4,6,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Mumbai,0,38
1381,2011-05-24,10.6,Middle Overs (10-16),4,6,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Mumbai,0,42
1386,2011-05-27,14.6,Middle Overs (10-16),4,6,V Kohli,MM Patel,Right-arm fast-medium,7.87,33.0,Not Out,Mumbai Indians,Chennai,1,12
1390,2011-05-27,16.6,Death Overs,4,4,SS Tiwary,MM Patel,Right-arm fast-medium,7.87,33.0,Not Out,Mumbai Indians,Chennai,1,16
1403,2011-05-28,3.3,Power Play,4,6,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Chennai,0,46
1404,2011-05-28,3.4,Power Play,4,6,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Chennai,2,50
1405,2011-05-28,3.5,Power Play,4,6,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Chennai,1,54
1410,2011-05-28,5.2,Power Play,4,6,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Chennai,4,58
1411,2011-05-28,5.3,Power Play,4,6,V Kohli,JA Morkel,Right-arm fast-medium,8.3,41.0,Not Out,Chennai Super Kings,Chennai,1,62
1428,2012-04-07,11.1,Middle Overs (10-16),4,4,MA Agarwal,M Morkel,Right-arm fast,7.56,13.0,Not Out,Delhi Capitals,Bangalore,0,4
1429,2012-04-07,11.2,Middle Overs (10-16),4,4,MA Agarwal,M Morkel,Right-arm fast,7.56,13.0,Not Out,Delhi Capitals,Bangalore,1,8
1430,2012-04-07,11.5,Middle Overs (10-16),4,4,MA Agarwal,M Morkel,Right-arm fast,7.56,13.0,Not Out,Delhi Capitals,Bangalore,1,12
1445,2012-04-07,16.1,Death Overs,4,2,R Vinay Kumar,IK Pathan,Left-arm fast-medium,8.143,43.0,Not Out,Delhi Capitals,Bangalore,0,4
1446,2012-04-07,16.3,Death Overs,4,2,R Vinay Kumar,IK Pathan,Left-arm fast-medium,8.143,43.0,Not Out,Delhi Capitals,Bangalore,0,8
1447,2012-04-07,16.6,Death Overs,4,2,R Vinay Kumar,IK Pathan,Left-arm fast-medium,8.143,43.0,Not Out,Delhi Capitals,Bangalore,4,12
1448,2012-04-07,17.3,Death Overs,4,2,R Vinay Kumar,M Morkel,Right-arm fast,7.56,13.0,Not Out,Delhi Capitals,Bangalore,1,16
1449,2012-04-07,17.5,Death Overs,4,2,R Vinay Kumar,M Morkel,Right-arm fast,7.56,13.0,Not Out,Delhi Capitals,Bangalore,1,20
1450,2012-04-07,18.1,Death Overs,4,2,R Vinay Kumar,IK Pathan,Left-arm fast-medium,8.143,43.0,Not Out,Delhi Capitals,Bangalore,6,16
1451,2012-04-07,18.2,Death Overs,4,2,R Vinay Kumar,IK Pathan,Left-arm fast-medium,8.143,43.0,Not Out,Delhi Capitals,Bangalore,4,20
1452,2012-04-07,18.3,Death Overs,4,2,R Vinay Kumar,IK Pathan,Left-arm fast-medium,8.143,43.0,Not Out,Delhi Capitals,Bangalore,4,24
1453,2012-04-07,18.4,Death Overs,4,2,R Vinay Kumar,IK Pathan,Left-arm fast-medium,8.143,43.0,Not Out,Delhi Capitals,Bangalore,1,28
1456,2012-04-10,3.5,Power Play,4,6,V Kohli,JH Kallis,Right-arm fast-medium,7.7,26.0,Not Out,Kolkata Knight Riders,Bangalore,1,12
1457,2012-04-10,4.1,Power Play,4,6,V Kohli,B Lee,Right-arm fast,7.757,10.0,Not Out,Kolkata Knight Riders,Bangalore,4,4
1458,2012-04-10,4.2,Power Play,4,6,V Kohli,B Lee,Right-arm fast,7.757,10.0,Not Out,Kolkata Knight Riders,Bangalore,0,8
1459,2012-04-10,4.3,Power Play,4,6,V Kohli,B Lee,Right-arm fast,7.757,10.0,Not Out,Kolkata Knight Riders,Bangalore,1,12
1460,2012-04-10,6.1,Middle Overs (6-10),4,5,SS Tiwary,R Bhatia,Right-arm medium,7.18,21.0,Not Out,Kolkata Knight Riders,Bangalore,0,4
1461,2012-04-10,6.2,Middle Overs (6-10),4,5,SS Tiwary,R Bhatia,Right-arm medium,7.18,21.0,Not Out,Kolkata Knight Riders,Bangalore,0,8
1462,2012-04-10,6.3,Middle Overs (6-10),4,5,SS Tiwary,R Bhatia,Right-arm medium,7.18,21.0,Not Out,Kolkata Knight Riders,Bangalore,1,12
1463,2012-04-10,6.6,Middle Overs (6-10),4,5,SS Tiwary,R Bhatia,Right-arm medium,7.18,21.0,Not Out,Kolkata Knight Riders,Bangalore,1,16
1464,2012-04-10,7.1,Middle Overs (6-10),4,5,SS Tiwary,L Balaji,Right-arm fast-medium,8.563,30.0,Not Out,Kolkata Knight Riders,Bangalore,2,24
1465,2012-04-10,7.2,Middle Overs (6-10),4,5,SS Tiwary,L Balaji,Right-arm fast-medium,8.563,30.0,bowled,Kolkata Knight Riders,Bangalore,0,28
1468,2012-04-12,17.2,Death Overs,4,6,V Kohli,JA Morkel,Right-arm fast-medium,8.357,39.0,caught,Chennai Super Kings,Chennai,0,66
1469,2012-04-15,6.1,Middle Overs (6-10),4,6,V Kohli,Pankaj Singh,Right-arm fast-medium,10.3,4.0,Not Out,Rajasthan Royals,Bangalore,1,4
1470,2012-04-15,6.3,Middle Overs (6-10),4,6,V Kohli,Pankaj Singh,Right-arm fast-medium,10.3,4.0,Not Out,Rajasthan Royals,Bangalore,1,8
1471,2012-04-15,6.6,Middle Overs (6-10),4,6,V Kohli,Pankaj Singh,Right-arm fast-medium,10.3,4.0,Not Out,Rajasthan Royals,Bangalore,0,12
1476,2012-04-15,8.2,Middle Overs (6-10),4,6,V Kohli,SK Trivedi,Right-arm medium,7.803,27.0,Not Out,Rajasthan Royals,Bangalore,0,4
1477,2012-04-15,8.4,Middle Overs (6-10),4,6,V Kohli,SK Trivedi,Right-arm medium,7.803,27.0,Not Out,Rajasthan Royals,Bangalore,2,8
1478,2012-04-15,8.5,Middle Overs (6-10),4,6,V Kohli,SK Trivedi,Right-arm medium,7.803,27.0,bowled,Rajasthan Royals,Bangalore,0,12
1487,2012-04-17,18.2,Death Overs,6,4,SS Tiwary,AB Dinda,Right-arm fast-medium,7.847,18.0,Not Out,Pune Warriors,Bangalore,1,6
1488,2012-04-17,18.5,Death Overs,6,4,SS Tiwary,AB Dinda,Right-arm fast-medium,7.847,18.0,Not Out,Pune Warriors,Bangalore,1,12
1495,2012-04-20,6.1,Middle Overs (6-10),5,5,CH Gayle,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,1,57
1496,2012-04-20,6.4,Middle Overs (6-10),5,5,CH Gayle,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,1,62
1497,2012-04-20,7.1,Middle Overs (6-10),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,1,5
1498,2012-04-20,7.4,Middle Overs (6-10),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,1,10
1499,2012-04-20,8.1,Middle Overs (6-10),5,5,CH Gayle,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,2,67
1500,2012-04-20,8.2,Middle Overs (6-10),5,5,CH Gayle,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,1,72
1501,2012-04-20,8.4,Middle Overs (6-10),5,5,CH Gayle,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,1,77
1502,2012-04-20,9.2,Middle Overs (6-10),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,4,15
1503,2012-04-20,9.3,Middle Overs (6-10),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,4,20
1504,2012-04-20,9.4,Middle Overs (6-10),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,2,25
1505,2012-04-20,9.5,Middle Overs (6-10),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,0,30
1506,2012-04-20,9.6,Middle Overs (6-10),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,1,35
1509,2012-04-20,11.4,Middle Overs (10-16),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,1,40
1510,2012-04-20,11.6,Middle Overs (10-16),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,1,45
1515,2012-04-20,13.5,Middle Overs (10-16),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,4,50
1516,2012-04-20,13.6,Middle Overs (10-16),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,2,55
1517,2012-04-20,13.7,Middle Overs (10-16),5,5,CH Gayle,Harmeet Singh,Left-arm orthodox,7.74,14.0,Not Out,Punjab Kings,Chandigarh,1,60
1518,2012-04-20,14.1,Middle Overs (10-16),5,5,CH Gayle,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,0,82
1519,2012-04-20,14.2,Middle Overs (10-16),5,5,CH Gayle,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,0,87
1520,2012-04-20,14.3,Middle Overs (10-16),5,5,CH Gayle,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,1,92
1521,2012-04-20,14.5,Middle Overs (10-16),5,5,CH Gayle,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,0,97
1522,2012-04-20,14.6,Middle Overs (10-16),5,5,CH Gayle,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,1,102
1523,2012-04-20,15.1,Middle Overs (10-16),5,5,CH Gayle,P Kumar,Right-arm fast-medium,7.957,33.0,Not Out,Punjab Kings,Chandigarh,0,13
1524,2012-04-20,15.2,Middle Overs (10-16),5,5,CH Gayle,P Kumar,Right-arm fast-medium,7.957,33.0,Not Out,Punjab Kings,Chandigarh,1,18
1525,2012-04-20,15.6,Middle Overs (10-16),5,5,CH Gayle,P Kumar,Right-arm fast-medium,7.957,33.0,Not Out,Punjab Kings,Chandigarh,1,23
1532,2012-04-20,18.2,Death Overs,5,4,AB McDonald,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Chandigarh,0,107
1533,2012-04-20,18.3,Death Overs,5,4,AB McDonald,PP Chawla,Right-arm legbreak,7.487,40.0,lbw,Punjab Kings,Chandigarh,0,112
1544,2012-04-23,15.4,Middle Overs (10-16),5,5,TM Dilshan,SK Trivedi,Right-arm medium,7.803,27.0,Not Out,Rajasthan Royals,Jaipur,3,17
1545,2012-04-23,15.6,Middle Overs (10-16),5,5,TM Dilshan,SK Trivedi,Right-arm medium,7.803,27.0,Not Out,Rajasthan Royals,Jaipur,0,22
1551,2012-04-23,18.1,Death Overs,5,5,TM Dilshan,SK Trivedi,Right-arm medium,7.803,27.0,Not Out,Rajasthan Royals,Jaipur,1,27
1552,2012-04-23,18.3,Death Overs,5,5,TM Dilshan,SK Trivedi,Right-arm medium,7.803,27.0,Not Out,Rajasthan Royals,Jaipur,1,32
1553,2012-04-23,18.5,Death Overs,5,5,TM Dilshan,SK Trivedi,Right-arm medium,7.803,27.0,Not Out,Rajasthan Royals,Jaipur,6,37
1554,2012-04-23,18.6,Death Overs,5,5,TM Dilshan,SK Trivedi,Right-arm medium,7.803,27.0,Not Out,Rajasthan Royals,Jaipur,4,42
1555,2012-04-23,18.7,Death Overs,5,5,TM Dilshan,SK Trivedi,Right-arm medium,7.803,27.0,Not Out,Rajasthan Royals,Jaipur,6,47
1558,2012-04-28,5.3,Power Play,4,6,CH Gayle,JH Kallis,Right-arm fast-medium,7.7,26.0,caught,Kolkata Knight Riders,Kolkata,0,16
1563,2012-05-02,16.1,Death Overs,4,6,V Kohli,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Bangalore,0,116
1564,2012-05-02,16.2,Death Overs,4,6,V Kohli,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Bangalore,4,120
1565,2012-05-02,16.3,Death Overs,4,6,V Kohli,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Bangalore,1,124
1566,2012-05-02,16.6,Death Overs,4,5,AB McDonald,PP Chawla,Right-arm legbreak,7.487,40.0,Not Out,Punjab Kings,Bangalore,0,128
1567,2012-05-02,17.2,Death Overs,4,5,AB McDonald,DJ Hussey,Right-arm offbreak,9.72,1.0,Not Out,Punjab Kings,Bangalore,1,4
