,Over,Bowler,Non_Striker,Runs,Extras,Extra Type,Opposition,Venue,Year
0,1.5,Sandeep Sharma,Vishnu Vinod,4,0,legal,Kings XI Punjab,Indore,10-Apr-2017
1,1.6,Sandeep Sharma,Vishnu Vinod,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
2,2.4,MM Sharma,Vishnu Vinod,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
3,2.5,MM Sharma,Vishnu Vinod,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
4,2.6,MM Sharma,Vishnu Vinod,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
5,3.4,Sandeep Sharma,KM Jadhav,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
6,4.1,VR Aaron,KM Jadhav,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
7,4.2,VR Aaron,KM Jadhav,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
8,4.3,VR Aaron,KM Jadhav,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
9,4.5,VR Aaron,KM Jadhav,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
10,5.1,Sandeep Sharma,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
11,6.1,VR Aaron,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
12,6.6,VR Aaron,Mandeep Singh,4,0,legal,Kings XI Punjab,Indore,10-Apr-2017
13,8.4,T Natarajan,Mandeep Singh,0,1,wides,Kings XI Punjab,Indore,10-Apr-2017
14,8.5,T Natarajan,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
15,9.1,MP Stoinis,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
16,9.3,MP Stoinis,Mandeep Singh,2,0,legal,Kings XI Punjab,Indore,10-Apr-2017
17,9.4,MP Stoinis,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
18,9.6,MP Stoinis,Mandeep Singh,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
19,10.3,AR Patel,Mandeep Singh,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
20,10.4,AR Patel,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
21,10.6,AR Patel,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
22,11.1,MP Stoinis,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
23,11.3,MP Stoinis,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
24,11.5,MP Stoinis,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
25,12.3,AR Patel,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
26,13.2,VR Aaron,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
27,13.3,VR Aaron,STR Binny,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
28,14.6,AR Patel,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
29,15.3,VR Aaron,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
30,15.4,VR Aaron,STR Binny,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
31,16.2,MP Stoinis,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
32,16.3,MP Stoinis,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
33,16.4,MP Stoinis,STR Binny,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
34,16.6,MP Stoinis,STR Binny,0,1,wides,Kings XI Punjab,Indore,10-Apr-2017
35,16.7,MP Stoinis,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
36,17.4,MM Sharma,STR Binny,2,0,legal,Kings XI Punjab,Indore,10-Apr-2017
37,17.5,MM Sharma,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
38,17.6,MM Sharma,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
39,18.2,Sandeep Sharma,STR Binny,4,0,legal,Kings XI Punjab,Indore,10-Apr-2017
40,18.3,Sandeep Sharma,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
41,18.4,Sandeep Sharma,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
42,18.5,Sandeep Sharma,STR Binny,0,1,wides,Kings XI Punjab,Indore,10-Apr-2017
43,18.6,Sandeep Sharma,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
44,18.7,Sandeep Sharma,STR Binny,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
45,19.1,MM Sharma,STR Binny,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
46,19.4,MM Sharma,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
47,19.5,MM Sharma,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
48,19.6,MM Sharma,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
49,9.3,HH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
50,9.6,HH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
51,10.1,KH Pandya,V Kohli,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
52,10.2,KH Pandya,V Kohli,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
53,10.3,KH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
54,10.5,KH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
55,11.1,HH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
56,11.3,HH Pandya,V Kohli,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
57,11.4,HH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
58,11.6,HH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
59,12.1,KH Pandya,V Kohli,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
60,12.2,KH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
61,12.5,KH Pandya,V Kohli,0,4,byes,Mumbai Indians,Bangalore,14-Apr-2017
62,12.6,KH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
63,13.1,JJ Bumrah,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
64,13.3,JJ Bumrah,V Kohli,6,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
65,13.4,JJ Bumrah,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
66,14.1,KH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
67,14.6,KH Pandya,V Kohli,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
68,15.5,MJ McClenaghan,KM Jadhav,0,1,wides,Mumbai Indians,Bangalore,14-Apr-2017
69,15.6,MJ McClenaghan,KM Jadhav,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
70,16.2,KH Pandya,KM Jadhav,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
71,1.6,SN Thakur,V Kohli,4,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
72,2.2,JD Unadkat,V Kohli,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
73,2.3,JD Unadkat,V Kohli,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
74,2.4,JD Unadkat,V Kohli,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
75,2.5,JD Unadkat,V Kohli,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
76,2.6,JD Unadkat,V Kohli,6,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
77,3.4,SN Thakur,V Kohli,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
78,3.5,SN Thakur,V Kohli,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
79,4.1,DT Christian,V Kohli,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
80,4.2,DT Christian,V Kohli,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
81,5.2,BA Stokes,V Kohli,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
82,5.4,BA Stokes,KM Jadhav,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
83,5.5,BA Stokes,KM Jadhav,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
84,5.6,BA Stokes,KM Jadhav,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
85,6.1,Imran Tahir,KM Jadhav,2,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
86,6.2,Imran Tahir,KM Jadhav,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
87,6.4,Imran Tahir,KM Jadhav,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
88,7.1,BA Stokes,KM Jadhav,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
89,7.2,BA Stokes,KM Jadhav,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
90,7.3,BA Stokes,KM Jadhav,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
91,7.4,BA Stokes,KM Jadhav,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
92,7.6,BA Stokes,KM Jadhav,0,1,wides,Rising Pune Supergiant,Bangalore,16-Apr-2017
93,7.7,BA Stokes,KM Jadhav,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
94,8.1,Imran Tahir,KM Jadhav,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
95,8.4,Imran Tahir,KM Jadhav,6,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
96,8.5,Imran Tahir,KM Jadhav,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
97,9.2,DT Christian,KM Jadhav,0,1,legbyes,Rising Pune Supergiant,Bangalore,16-Apr-2017
98,9.4,DT Christian,KM Jadhav,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
99,9.5,DT Christian,KM Jadhav,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
100,9.6,DT Christian,KM Jadhav,1,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
101,10.1,Imran Tahir,KM Jadhav,0,2,wides,Rising Pune Supergiant,Bangalore,16-Apr-2017
102,10.3,Imran Tahir,KM Jadhav,0,0,legal,Rising Pune Supergiant,Bangalore,16-Apr-2017
103,1.3,UT Yadav,CH Gayle,0,0,legal,Kolkata Knight Riders,Kolkata,23-Apr-2017
104,1.4,UT Yadav,CH Gayle,4,0,legal,Kolkata Knight Riders,Kolkata,23-Apr-2017
105,1.5,UT Yadav,CH Gayle,0,0,legal,Kolkata Knight Riders,Kolkata,23-Apr-2017
106,1.6,UT Yadav,CH Gayle,0,0,legal,Kolkata Knight Riders,Kolkata,23-Apr-2017
107,2.2,NM Coulter-Nile,CH Gayle,4,0,legal,Kolkata Knight Riders,Kolkata,23-Apr-2017
108,2.3,NM Coulter-Nile,CH Gayle,0,0,legal,Kolkata Knight Riders,Kolkata,23-Apr-2017
109,3.7,Basil Thampi,CH Gayle,0,0,legal,Gujarat Lions,Bangalore,27-Apr-2017
110,4.5,AJ Tye,KM Jadhav,0,0,legal,Gujarat Lions,Bangalore,27-Apr-2017
111,4.6,AJ Tye,KM Jadhav,0,0,legal,Gujarat Lions,Bangalore,27-Apr-2017
112,6.1,RA Jadeja,KM Jadhav,1,0,legal,Gujarat Lions,Bangalore,27-Apr-2017
113,6.5,RA Jadeja,KM Jadhav,1,0,legal,Gujarat Lions,Bangalore,27-Apr-2017
114,7.2,Ankit Soni,KM Jadhav,1,0,legal,Gujarat Lions,Bangalore,27-Apr-2017
115,7.4,Ankit Soni,KM Jadhav,1,0,legal,Gujarat Lions,Bangalore,27-Apr-2017
116,8.2,RA Jadeja,KM Jadhav,0,0,legal,Gujarat Lions,Bangalore,27-Apr-2017
117,8.3,RA Jadeja,KM Jadhav,0,1,legbyes,Gujarat Lions,Bangalore,27-Apr-2017
118,9.1,Ankit Soni,Mandeep Singh,0,0,legal,Gujarat Lions,Bangalore,27-Apr-2017
119,9.2,Ankit Soni,Mandeep Singh,0,1,wides,Gujarat Lions,Bangalore,27-Apr-2017
120,9.3,Ankit Soni,Mandeep Singh,1,0,legal,Gujarat Lions,Bangalore,27-Apr-2017
121,2.6,DL Chahar,V Kohli,1,0,legal,Rising Pune Supergiant,Pune,29-Apr-2017
122,3.1,JD Unadkat,V Kohli,0,0,legal,Rising Pune Supergiant,Pune,29-Apr-2017
123,3.2,JD Unadkat,V Kohli,0,0,legal,Rising Pune Supergiant,Pune,29-Apr-2017
124,3.3,JD Unadkat,V Kohli,1,0,legal,Rising Pune Supergiant,Pune,29-Apr-2017
125,3.5,JD Unadkat,V Kohli,0,1,legbyes,Rising Pune Supergiant,Pune,29-Apr-2017
126,4.1,LH Ferguson,V Kohli,1,0,legal,Rising Pune Supergiant,Pune,29-Apr-2017
127,4.3,LH Ferguson,V Kohli,0,0,legal,Rising Pune Supergiant,Pune,29-Apr-2017
128,4.4,LH Ferguson,V Kohli,0,0,legal,Rising Pune Supergiant,Pune,29-Apr-2017
129,5.2,MJ McClenaghan,TM Head,0,0,legal,Mumbai Indians,Mumbai,01-May-2017
130,5.3,MJ McClenaghan,TM Head,0,0,legal,Mumbai Indians,Mumbai,01-May-2017
131,5.4,MJ McClenaghan,TM Head,4,0,legal,Mumbai Indians,Mumbai,01-May-2017
132,5.5,MJ McClenaghan,TM Head,6,0,legal,Mumbai Indians,Mumbai,01-May-2017
133,5.6,MJ McClenaghan,TM Head,2,0,legal,Mumbai Indians,Mumbai,01-May-2017
134,6.2,KH Pandya,TM Head,0,0,legal,Mumbai Indians,Mumbai,01-May-2017
135,6.3,KH Pandya,TM Head,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
136,6.6,KH Pandya,TM Head,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
137,7.1,SL Malinga,TM Head,0,1,legbyes,Mumbai Indians,Mumbai,01-May-2017
138,7.3,SL Malinga,TM Head,0,0,legal,Mumbai Indians,Mumbai,01-May-2017
139,7.4,SL Malinga,TM Head,4,0,legal,Mumbai Indians,Mumbai,01-May-2017
140,7.5,SL Malinga,TM Head,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
141,8.1,KH Pandya,TM Head,0,0,legal,Mumbai Indians,Mumbai,01-May-2017
142,8.2,KH Pandya,TM Head,4,0,legal,Mumbai Indians,Mumbai,01-May-2017
143,8.3,KH Pandya,TM Head,0,1,wides,Mumbai Indians,Mumbai,01-May-2017
144,8.4,KH Pandya,TM Head,6,0,legal,Mumbai Indians,Mumbai,01-May-2017
145,8.5,KH Pandya,TM Head,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
146,9.2,KV Sharma,TM Head,0,0,legal,Mumbai Indians,Mumbai,01-May-2017
147,9.3,KV Sharma,TM Head,0,0,legal,Mumbai Indians,Mumbai,01-May-2017
148,9.4,KV Sharma,TM Head,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
149,9.6,KV Sharma,TM Head,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
150,10.1,KH Pandya,TM Head,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
151,10.6,KH Pandya,KM Jadhav,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
152,11.1,KV Sharma,KM Jadhav,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
153,11.4,KV Sharma,KM Jadhav,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
154,11.6,KV Sharma,KM Jadhav,1,0,legal,Mumbai Indians,Mumbai,01-May-2017
155,12.1,KH Pandya,KM Jadhav,6,0,legal,Mumbai Indians,Mumbai,01-May-2017
156,12.2,KH Pandya,KM Jadhav,0,0,legal,Mumbai Indians,Mumbai,01-May-2017
157,2.6,Sandeep Sharma,Mandeep Singh,0,0,legal,Kings XI Punjab,Bangalore,05-May-2017
158,4.1,Sandeep Sharma,Mandeep Singh,0,0,legal,Kings XI Punjab,Bangalore,05-May-2017
159,4.2,Sandeep Sharma,Mandeep Singh,4,0,legal,Kings XI Punjab,Bangalore,05-May-2017
160,4.3,Sandeep Sharma,Mandeep Singh,0,0,legal,Kings XI Punjab,Bangalore,05-May-2017
161,4.4,Sandeep Sharma,Mandeep Singh,6,0,legal,Kings XI Punjab,Bangalore,05-May-2017
162,4.5,Sandeep Sharma,Mandeep Singh,0,0,legal,Kings XI Punjab,Bangalore,05-May-2017
163,2.6,UT Yadav,Mandeep Singh,0,0,legal,Kolkata Knight Riders,Bangalore,07-May-2017
164,3.3,CR Woakes,Mandeep Singh,0,0,legal,Kolkata Knight Riders,Bangalore,07-May-2017
165,3.4,CR Woakes,Mandeep Singh,0,0,legal,Kolkata Knight Riders,Bangalore,07-May-2017
166,3.5,CR Woakes,Mandeep Singh,2,0,legal,Kolkata Knight Riders,Bangalore,07-May-2017
167,3.6,CR Woakes,Mandeep Singh,4,0,legal,Kolkata Knight Riders,Bangalore,07-May-2017
168,4.2,SP Narine,Mandeep Singh,0,0,legal,Kolkata Knight Riders,Bangalore,07-May-2017
169,4.3,SP Narine,Mandeep Singh,4,0,legal,Kolkata Knight Riders,Bangalore,07-May-2017
170,4.4,SP Narine,Mandeep Singh,0,0,legal,Kolkata Knight Riders,Bangalore,07-May-2017
171,8.3,SP Narine,V Kohli,1,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
172,8.6,SP Narine,V Kohli,1,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
173,9.1,Kuldeep Yadav,V Kohli,1,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
174,9.3,Kuldeep Yadav,V Kohli,1,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
175,9.5,Kuldeep Yadav,V Kohli,6,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
176,9.6,Kuldeep Yadav,V Kohli,6,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
177,10.2,SP Narine,V Kohli,0,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
178,10.3,SP Narine,V Kohli,6,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
179,10.4,SP Narine,V Kohli,1,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
180,11.1,MG Johnson,V Kohli,0,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
181,11.2,MG Johnson,V Kohli,4,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
182,11.3,MG Johnson,V Kohli,6,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
183,11.4,MG Johnson,V Kohli,0,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
184,11.5,MG Johnson,V Kohli,0,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
185,11.6,MG Johnson,V Kohli,0,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
186,12.2,PP Chawla,V Kohli,1,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
187,12.6,PP Chawla,V Kohli,1,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
188,13.1,AD Russell,V Kohli,1,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
189,13.3,AD Russell,V Kohli,1,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
190,13.5,AD Russell,V Kohli,0,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
191,13.6,AD Russell,V Kohli,1,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
192,14.1,N Rana,V Kohli,6,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
193,14.2,N Rana,V Kohli,0,0,legal,Kolkata Knight Riders,Kolkata,2018-04-08
194,4.6,Mujeeb Ur Rahman,Q de Kock,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
195,5.4,R Ashwin,Q de Kock,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
196,5.6,R Ashwin,Q de Kock,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
197,6.1,Mujeeb Ur Rahman,Q de Kock,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
198,6.5,Mujeeb Ur Rahman,Q de Kock,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
199,6.6,Mujeeb Ur Rahman,Q de Kock,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
200,7.1,MM Sharma,Q de Kock,6,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
201,7.2,MM Sharma,Q de Kock,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
202,7.5,MM Sharma,Q de Kock,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
203,7.6,MM Sharma,Q de Kock,4,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
204,8.3,AR Patel,Q de Kock,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
205,8.4,AR Patel,Q de Kock,2,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
206,8.5,AR Patel,Q de Kock,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
207,8.6,AR Patel,Q de Kock,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
208,9.2,R Ashwin,Q de Kock,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
209,10.1,AR Patel,Q de Kock,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
210,10.6,AR Patel,Q de Kock,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
211,11.6,R Ashwin,Mandeep Singh,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
212,12.2,AR Patel,Mandeep Singh,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
213,12.4,AR Patel,Mandeep Singh,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
214,12.6,AR Patel,Mandeep Singh,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
215,13.3,AJ Tye,Mandeep Singh,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
216,13.5,AJ Tye,Mandeep Singh,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
217,13.6,AJ Tye,Mandeep Singh,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
218,14.1,MM Sharma,Mandeep Singh,2,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
219,14.2,MM Sharma,Mandeep Singh,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
220,14.5,MM Sharma,Mandeep Singh,4,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
221,14.6,MM Sharma,Mandeep Singh,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
222,15.1,AJ Tye,Mandeep Singh,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
223,15.3,AJ Tye,Mandeep Singh,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
224,15.4,AJ Tye,Mandeep Singh,0,1,legbyes,Kings XI Punjab,Bengaluru,2018-04-13
225,15.6,AJ Tye,Mandeep Singh,2,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
226,16.2,Mujeeb Ur Rahman,Mandeep Singh,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
227,16.5,Mujeeb Ur Rahman,Mandeep Singh,6,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
228,16.6,Mujeeb Ur Rahman,Mandeep Singh,6,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
229,17.2,MM Sharma,Mandeep Singh,6,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
230,17.3,MM Sharma,Mandeep Singh,2,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
231,17.4,MM Sharma,Mandeep Singh,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
232,17.6,MM Sharma,Mandeep Singh,1,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
233,18.1,AJ Tye,Mandeep Singh,0,0,legal,Kings XI Punjab,Bengaluru,2018-04-13
234,8.2,S Gopal,V Kohli,0,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
235,8.3,S Gopal,V Kohli,2,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
236,8.4,S Gopal,V Kohli,0,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
237,8.5,S Gopal,V Kohli,0,1,byes,Rajasthan Royals,Bengaluru,2018-04-15
238,9.1,B Laughlin,V Kohli,1,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
239,9.4,B Laughlin,V Kohli,0,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
240,9.5,B Laughlin,V Kohli,6,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
241,9.6,B Laughlin,V Kohli,1,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
242,10.1,S Gopal,V Kohli,1,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
243,10.4,S Gopal,Mandeep Singh,1,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
244,10.6,S Gopal,Mandeep Singh,1,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
245,11.1,JD Unadkat,Mandeep Singh,1,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
246,11.3,JD Unadkat,Mandeep Singh,1,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
247,11.5,JD Unadkat,Mandeep Singh,4,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
248,11.6,JD Unadkat,Mandeep Singh,1,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
249,12.1,S Gopal,Mandeep Singh,0,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
250,12.2,S Gopal,Mandeep Singh,0,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
251,12.3,S Gopal,Mandeep Singh,0,0,legal,Rajasthan Royals,Bengaluru,2018-04-15
252,4.2,MJ McClenaghan,V Kohli,1,0,legal,Mumbai Indians,Mumbai,2018-04-17
253,4.4,MJ McClenaghan,V Kohli,0,0,legal,Mumbai Indians,Mumbai,2018-04-17
254,4.4,S Nadeem,V Kohli,0,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
255,4.5,S Nadeem,V Kohli,4,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
256,4.6,S Nadeem,V Kohli,4,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
257,6.1,S Nadeem,V Kohli,1,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
258,6.4,S Nadeem,V Kohli,4,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
259,6.5,S Nadeem,V Kohli,4,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
260,6.6,S Nadeem,V Kohli,4,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
261,7.3,CH Morris,V Kohli,1,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
262,7.5,CH Morris,V Kohli,1,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
263,8.2,HV Patel,V Kohli,1,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
264,8.4,HV Patel,V Kohli,0,1,legbyes,Delhi Daredevils,Bengaluru,2018-04-21
265,8.6,HV Patel,V Kohli,1,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
266,9.1,R Tewatia,V Kohli,1,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
267,9.3,R Tewatia,V Kohli,6,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
268,9.4,R Tewatia,V Kohli,0,0,legal,Delhi Daredevils,Bengaluru,2018-04-21
